ain't	am not
aren't	are not
can't	cannot
couldn't	could not
could've	could have
didn't	did not
doesn't	does not
don't	do not
e'er	ever
hadn't	had not
hasn't	has not
haven't	have not
he'd	he had
he'll	he will
he's	he is
I'd	I had
I'll	I will
I'm	I am
I've	I have
isn't	is not
it'd	it would
it'll	it shall
it's	it is
let's	let us
ma'am	madam
mightn't	might not
might've	might have
mustn't	must not
must've	must have
'n'	and
needn't	need not
ne'er	never
o'er	over
ol'	old
oughtn't	ought not
shan't	shall not
she'd	she had
she'll	she will
she's	she is
shouldn't	should not
should've	should have
that'd	that would
that's	that is
there'd	there had
there'll	there will
there's	there has
they'd	they had
they'll	they will
they're	they are
they've	they have
'twas	it was
wasn't	was not
we'd	we had
we'll	we will
we're	we are
we've	we have
weren't	were not
what'll	what will
what're	what are
what's	what is
what've	what have
where'd	where did
where's	where is
who'd	who had
who'll	who will
who's	who is
who've	who have
why'd	why did
won't	will not
wouldn't	would not
would've	would have
you'd	you had
you'll	you will
you're	you are
you've	you have
